ID	compound.name	formula	molecular.weight	A	B	C	Tmin	Tmax	dHn	Tn
1	acetone	C3H6O	58.0794	14.3145	2756.22	228.06	-26	77	29.1	56.2
2	acetic-acid	C2H4O2	60.0516	15.0717	3580.8	2244.65	24	142	23.7	117.9
3	acetonitrile	C2H3N	41.0527	14.895	3413.1	250.523	-27	81	30.19	81.6
4	bencene	C6H6	78.1134	13.7819	2726.81	217.572	6	104	30.72	80
5	iso-butane	C4H10	58.123	13.8254	2181.76	248.87	-83	7	21.3	-11.9
6	n-butane	C4H10	58.123	13.6608	2154.7	238.789	-73	19	22.44	-0.5
7	1-butanol	C4H10O	74.122	15.3144	3212.43	182.739	37	138	43.29	117.6
8	2-butanol	C4H10O	74.122	15.1989	3026.03	186.5	25	120	40.75	99.5
9	iso-butanol	C4H10O	74.122	14.6047	2740.95	166.67	30	128	41.82	107.8
10	tert-butanol	C4H10O	74.122	14.8445	2658.29	177.65	10	101	39.07	82.3
11	carbon-tetrachloride	CCl4	153.823	14.0572	2914.23	232.148	-14	101	29.82	76.6
12	chlorobenzene	C6H5Cl	112.5585	13.8635	3174.78	211.7	29	159	35.19	131.7
13	1-chlorobutane	C4H9Cl	92.5681	13.7965	2723.73	218.265	-14	79	30.39	78.5
14	chloroform	CHCl3	119.3779	13.7324	2548.74	218.552	-23	84	29.24	61.1
15	cyclohexane	C6H12	84.1608	13.6568	2723.44	220.618	9	105	29.97	80.7
16	cyclopentane	C5H10	70.134	13.9727	2653.9	234.51	-35	71	27.3	49.2
17	n-decane	C10H22	142.2838	13.9748	3442.76	193.858	65	203	38.75	174.1
18	dichloromethane	CH2Cl2	84.9328	13.9891	2463.93	223.24	-38	60	28.06	39.7
19	diethylic ether	C4H10O	74.122	14.0735	2511.29	231.2	-43	55	26.52	34.4
20	"1,4 dioxene"	C4H8O2	88.1052	15.0967	3579.78	240.337	20	15	34.16	101.3
21	n-eicosane	C20H42	282.5518	14.4575	4680.46	132.1	208	379	57.49	343.6
22	ethanol	C2H6O	46.0684	16.8958	3795.17	230.918	3	96	38.56	78.2
23	ethylbenzene	C8H10	106.167	13.9726	3259.93	212.3	33	163	35.57	136.2
24	ethylenglicol	C2H6O2	62.0674	15.7567	4187.46	178.65	100	222	50.73	197.3
25	n-heptane	C7H16	100.2034	13.8622	2910.26	216.432	4	123	31.77	98.4
26	n-hexane	C6H14	86.1766	13.8193	2696.04	224.317	-19	92	28.85	68.7
27	methanol	CH4O	32.0416	16.5785	3638.27	239.5	-11	83	35.21	64.7
28	methyl acetate	C3H6O2	74.0784	14.2456	2662.78	219.69	-23	78	30.32	56.9
29	methyl ethyl ketone	C4H8O	72.1062	14.1334	2838.24	218.69	-8	103	31.3	79.6
30	nitromethane	CH3NO2	61.0397	14.7513	3331.7	227.6	56	146	33.99	101.2
31	n-nonane	C9H20	128.257	13.9854	3311.19	202.694	46	178	36.91	150.8
32	iso-octane	C8H18	114.2302	13.6703	2896.31	220.767	2	125	30.79	99.2
33	n-octane	C8H18	114.2302	13.9346	3123.13	209.635	26	152	34.41	125.6
34	n-pentane	C5H12	72.1498	13.7667	2451.88	232.014	-45	58	25.79	36
35	phenol	C6H6O	94.1124	14.4387	3507.8	175.4	80	208	46.18	181.8
36	1-propanol	C3H8O	60.0952	16.1154	3483.67	205.807	20	116	41.44	97.2
37	2-propanol	C3H8O	60.0952	16.6796	3640.2	219.61	8	100	39.85	82.2
38	toluene	C7H8	92.1402	13.932	3056.96	217.625	13	136	33.18	110.6
39	water	H2O	18.0148	16.3872	3885.7	230.17	0	200	40.66	100
40	o-xilene	C8H10	106.167	14.0415	3358.79	212.041	40	172	36.24	144.4
41	m-xilene	C8H10	106.167	14.1387	3381.81	216.12	35	166	35.66	139.1
42	p-xilene	C8H10	106.167	14.0579	3331.45	214.627	35	166	35.67	138.3
